,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top,net_win,net_totfd,net_totyds,net_pyds,net_ryds,net_pen,net_penyds,net_trnovr,net_pt,net_ptyds,net_ptavg,net_top
18,reg,2017091706,PIT,MIN,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091706/2017091706_gtd.json,26,9,1,0,22,14,335,237,233,146,102,91,10,11,72,131,0,1,5,6,193,264,36,44,34.36666666666667,25.63333333333333,1,8,98,87,11,-1,-59,-1,-1,-71,-8,8.733333333333338
19,reg,2017091705,NO,NE,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091705/2017091705_gtd.json,20,36,0,1,20,29,429,555,348,436,81,119,5,9,35,66,0,0,3,3,121,111,40,32,24.9,35.1,-1,-9,-126,-88,-38,-4,-31,0,0,10,8,-10.200000000000003
20,reg,2017091704,KC,PHI,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091704/2017091704_gtd.json,27,20,1,0,16,27,344,406,232,299,112,107,5,4,40,30,0,2,5,4,227,169,35,35,29.18333333333333,30.816666666666666,1,-11,-62,-67,5,1,10,-2,1,58,0,-1.6333333333333364
21,reg,2017091703,JAX,TEN,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091703/2017091703_gtd.json,16,37,0,1,20,21,310,390,211,211,99,179,10,7,99,70,3,1,5,3,246,125,38,40,29.23333333333333,30.766666666666666,-1,-1,-80,0,-80,3,29,2,2,121,-2,-1.533333333333335
22,reg,2017091702,IND,ARI,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091702/2017091702_gtd.json,13,16,0,1,18,17,266,389,190,306,76,83,8,6,70,41,1,1,7,5,303,232,42,42,33.15,28.816666666666666,-1,1,-123,-116,-7,2,29,0,2,71,0,4.333333333333332
23,reg,2017091701,CAR,BUF,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091701/2017091701_gtd.json,9,3,1,0,19,10,255,176,178,107,77,69,6,5,40,44,0,0,6,6,249,297,41,45,38.88333333333333,21.116666666666667,1,9,79,71,8,1,-4,0,0,-48,-4,17.766666666666666
24,reg,2017091709,OAK,NYJ,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091709/2017091709_gtd.json,45,20,1,0,21,17,410,271,230,145,180,126,9,5,79,47,0,2,3,3,166,119,52,35,31.03333333333333,28.966666666666665,1,4,139,85,54,4,32,-2,0,47,17,2.0666666666666664
25,reg,2017091708,LAC,MIA,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091708/2017091708_gtd.json,17,19,0,1,24,21,367,336,323,225,44,111,6,5,56,23,0,0,4,3,170,130,37,29,26.63333333333333,33.36666666666667,-1,3,31,98,-67,1,33,0,1,40,8,-6.733333333333338
26,reg,2017091712,SEA,SF,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091712/2017091712_gtd.json,12,9,1,0,21,11,312,248,181,89,131,159,9,6,71,66,0,1,7,7,309,307,38,44,36.96666666666667,23.03333333333333,1,10,64,92,-28,3,5,-1,0,2,-6,13.933333333333337
27,reg,2017091711,LA,WAS,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091711/2017091711_gtd.json,20,27,0,1,14,21,332,385,240,156,92,229,7,4,75,25,2,0,4,4,182,204,42,45,23.68333333333333,36.31666666666667,-1,-7,-53,84,-137,3,50,2,0,-22,-3,-12.63333333333334
