,type,game_id,home_team,away_team,week,season,game_url,home_score,away_score,h_win,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top
0,reg,2018090600,PHI,ATL,1,2018,http://www.nfl.com/liveupdate/game-center/2018090600/2018090600_gtd.json,18,12,1,-4.2,-62.0,-35.6,-26.400000000000002,0.8,25.2,-0.2,1.8,71.6,-1.8,-8.926666666666662
1,reg,2018090900,BAL,BUF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090900/2018090900_gtd.json,47,3,1,1.2,-6.6,34.0,-40.6,0.4,12.8,-0.2,0.2,-5.999999999999999,-4.4,4.643333333333336
2,reg,2018090907,NYG,JAX,1,2018,http://www.nfl.com/liveupdate/game-center/2018090907/2018090907_gtd.json,15,20,0,1.7999999999999998,3.4000000000000057,-23.999999999999996,27.400000000000002,1.6,28.599999999999998,1.8,1.4,43.800000000000004,-14.2,-1.7266666666666657
3,reg,2018090906,NO,TB,1,2018,http://www.nfl.com/liveupdate/game-center/2018090906/2018090906_gtd.json,40,48,0,3.8,118.2,98.6,19.599999999999998,-1.2000000000000002,7.800000000000001,0.20000000000000007,-1.0,-59.2,-1.6,7.523333333333334
4,reg,2018090905,NE,HOU,1,2018,http://www.nfl.com/liveupdate/game-center/2018090905/2018090905_gtd.json,27,20,1,3.6,19.400000000000002,9.0,10.399999999999999,0.6000000000000001,0.40000000000000036,-0.2,0.0,-21.0,-4.2,7.540000000000003
5,reg,2018090904,MIN,SF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090904/2018090904_gtd.json,24,16,1,7.199999999999999,168.2,80.60000000000001,87.6,4.4,23.4,0.8,-1.5999999999999999,-98.6,-11.2,7.366666666666669
6,reg,2018090903,MIA,TEN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090903/2018090903_gtd.json,27,20,1,4.0,44.6,50.0,-5.400000000000006,0.0,18.6,0.0,0.0,18.8,4.2,3.5799999999999983
7,reg,2018090902,IND,CIN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090902/2018090902_gtd.json,23,34,0,1.2,21.0,27.8,-6.8,-2.0,-29.2,-0.4,0.6000000000000001,4.6,-7.6,0.16333333333333078
8,reg,2018090901,CLE,PIT,1,2018,http://www.nfl.com/liveupdate/game-center/2018090901/2018090901_gtd.json,21,21,0,0.4,-4.8,-10.399999999999999,5.600000000000001,-3.0,-56.400000000000006,0.2,-1.4,-71.2,-1.2,-4.256666666666668
9,reg,2018090908,LAC,KC,1,2018,http://www.nfl.com/liveupdate/game-center/2018090908/2018090908_gtd.json,28,38,0,-0.5999999999999996,66.0,56.4,9.600000000000001,1.8000000000000003,-6.2,0.3999999999999999,0.19999999999999996,24.800000000000004,0.7999999999999998,-7.066666666666668
10,reg,2018090911,DEN,SEA,1,2018,http://www.nfl.com/liveupdate/game-center/2018090911/2018090911_gtd.json,27,24,1,3.0,31.8,39.4,-7.600000000000001,-2.6,-3.4,-0.39999999999999997,-1.0,-33.6,-1.0,4.273333333333333
