,type,game_id,home_team,away_team,week,season,game_url,home_score,away_score,h_win,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top
22,reg,2018091604,NYJ,MIA,2,2018,http://www.nfl.com/liveupdate/game-center/2018091604/2018091604_gtd.json,12,20,0,1.75,5.75,-9.5,15.25,-3.0,-27.25,3.0,-0.5,-28.5,-6.75,-3.4583333333333313
23,reg,2018091601,BUF,LAC,2,2018,http://www.nfl.com/liveupdate/game-center/2018091601/2018091601_gtd.json,20,31,0,1.75,-5.0,16.25,-21.25,1.0,8.5,-0.25,-0.25,-5.5,13.5,-2.3333333333333353
24,reg,2018091602,GB,MIN,2,2018,http://www.nfl.com/liveupdate/game-center/2018091602/2018091602_gtd.json,29,29,0,-3.5,-37.0,41.0,-78.0,-3.25,-6.0,-0.75,0.5,44.25,1.0,-7.066666666666668
25,reg,2018091603,NO,CLE,2,2018,http://www.nfl.com/liveupdate/game-center/2018091603/2018091603_gtd.json,21,18,1,4.5,115.0,145.0,-30.0,0.25,28.25,2.0,-1.75,-70.0,5.75,3.5250000000000075
26,reg,2018091610,SF,DET,2,2018,http://www.nfl.com/liveupdate/game-center/2018091610/2018091610_gtd.json,30,27,1,-7.25,-83.75,-92.75,9.0,5.5,41.0,-1.0,1.75,68.25,8.25,3.5500000000000034
27,reg,2018091609,LA,ARI,2,2018,http://www.nfl.com/liveupdate/game-center/2018091609/2018091609_gtd.json,34,0,1,-0.5,-42.5,-19.75,-22.75,3.0,29.75,1.25,1.5,58.5,-7.5,4.491666666666665
28,reg,2018091612,JAX,NE,2,2018,http://www.nfl.com/liveupdate/game-center/2018091612/2018091612_gtd.json,31,20,1,-5.25,-22.0,12.25,-34.25,-4.0,-37.25,-1.75,-2.0,-67.5,6.5,-3.2083333333333393
29,reg,2018091611,DEN,OAK,2,2018,http://www.nfl.com/liveupdate/game-center/2018091611/2018091611_gtd.json,20,19,1,-0.5,-37.75,-29.0,-8.75,-4.25,-27.75,0.5,-1.25,-71.25,-0.5,0.30833333333333135
30,reg,2018091613,DAL,NYG,2,2018,http://www.nfl.com/liveupdate/game-center/2018091613/2018091613_gtd.json,20,13,1,-3.5,-68.25,-35.25,-33.0,3.5,9.25,1.0,-0.5,-15.75,8.25,-1.8416666666666641
31,reg,2018091700,CHI,SEA,2,2018,http://www.nfl.com/liveupdate/game-center/2018091700/2018091700_gtd.json,24,17,1,0.75,1.5,-39.5,41.0,-2.5,-27.0,-1.75,0.0,9.25,1.0,2.966666666666665
32,reg,2018092000,CLE,NYJ,3,2018,http://www.nfl.com/liveupdate/game-center/2018092000/2018092000_gtd.json,21,17,1,-1.25,-78.0,-87.75,9.75,-1.0,-10.25,-3.5,1.5,61.75,9.25,2.2416666666666636
33,reg,2018092300,ATL,NO,3,2018,http://www.nfl.com/liveupdate/game-center/2018092300/2018092300_gtd.json,37,43,0,-2.25,8.25,-27.5,35.75,-0.75,-6.5,-1.75,-0.75,-42.75,-5.75,2.241666666666667
34,reg,2018092309,WAS,GB,3,2018,http://www.nfl.com/liveupdate/game-center/2018092309/2018092309_gtd.json,31,17,1,-0.25,6.75,-9.5,16.25,0.0,-5.25,-0.25,0.25,-9.0,-1.5,0.1333333333333362
35,reg,2018092308,PHI,IND,3,2018,http://www.nfl.com/liveupdate/game-center/2018092308/2018092308_gtd.json,20,16,1,-7.0,-88.5,-55.25,-33.25,-1.25,-25.75,0.25,0.25,25.0,4.75,-10.533333333333328
36,reg,2018092307,MIN,BUF,3,2018,http://www.nfl.com/liveupdate/game-center/2018092307/2018092307_gtd.json,6,27,0,-4.0,-68.25,-90.5,22.25,1.0,20.0,-1.25,1.75,77.5,-1.5,2.858333333333333
37,reg,2018092306,MIA,OAK,3,2018,http://www.nfl.com/liveupdate/game-center/2018092306/2018092306_gtd.json,28,20,1,0.25,17.75,32.75,-15.0,0.5,7.0,0.0,-1.5,-34.0,7.0,5.624999999999998
38,reg,2018092301,BAL,DEN,3,2018,http://www.nfl.com/liveupdate/game-center/2018092301/2018092301_gtd.json,27,14,1,1.0,-11.25,-4.25,-7.0,-0.5,-0.75,-1.25,0.75,22.75,-0.5,5.758333333333329
39,reg,2018092302,CAR,CIN,3,2018,http://www.nfl.com/liveupdate/game-center/2018092302/2018092302_gtd.json,31,21,1,-1.75,2.75,-17.5,20.25,-1.5,-9.0,-0.5,-0.5,-14.25,-3.75,-1.483333333333329
40,reg,2018092303,HOU,NYG,3,2018,http://www.nfl.com/liveupdate/game-center/2018092303/2018092303_gtd.json,22,27,0,-4.25,-98.5,-31.0,-67.5,1.0,33.75,1.0,2.25,120.5,5.75,-0.7833333333333261
41,reg,2018092304,JAX,TEN,3,2018,http://www.nfl.com/liveupdate/game-center/2018092304/2018092304_gtd.json,6,9,0,2.25,69.5,44.25,25.25,-0.75,-14.0,0.5,-1.25,-59.0,4.25,-0.14166666666667105
42,reg,2018092305,KC,SF,3,2018,http://www.nfl.com/liveupdate/game-center/2018092305/2018092305_gtd.json,38,27,1,12.25,150.25,180.5,-30.25,-1.5,-10.0,1.75,-1.75,-99.0,-13.0,7.349999999999997
43,reg,2018092310,LA,LAC,3,2018,http://www.nfl.com/liveupdate/game-center/2018092310/2018092310_gtd.json,35,23,1,-2.25,-30.25,21.5,-51.75,0.5,51.25,-0.75,1.0,37.25,11.0,2.333333333333335
44,reg,2018092312,SEA,DAL,3,2018,http://www.nfl.com/liveupdate/game-center/2018092312/2018092312_gtd.json,24,13,1,2.75,43.5,48.0,-4.5,1.0,26.25,-0.25,0.75,-4.5,-5.25,4.474999999999995
45,reg,2018092311,ARI,CHI,3,2018,http://www.nfl.com/liveupdate/game-center/2018092311/2018092311_gtd.json,14,16,0,-2.5,-22.5,13.25,-35.75,-1.75,4.5,0.25,-0.5,-8.0,9.25,-6.616666666666664
46,reg,2018092313,DET,NE,3,2018,http://www.nfl.com/liveupdate/game-center/2018092313/2018092313_gtd.json,26,10,1,-5.5,-78.25,-21.25,-57.0,-2.5,-0.75,-1.25,0.25,38.5,-7.25,-5.666666666666672
47,reg,2018092400,TB,PIT,3,2018,http://www.nfl.com/liveupdate/game-center/2018092400/2018092400_gtd.json,27,30,0,0.5,53.25,70.25,-17.0,-2.0,-7.0,1.5,-2.0,-108.25,6.25,-2.9416666666666607
48,reg,2018092700,LA,MIN,4,2018,http://www.nfl.com/liveupdate/game-center/2018092700/2018092700_gtd.json,38,31,1,2.5,66.25,93.0,-26.75,1.0,41.75,0.75,-0.75,-36.25,2.75,3.158333333333335
49,reg,2018093005,JAX,NYJ,4,2018,http://www.nfl.com/liveupdate/game-center/2018093005/2018093005_gtd.json,31,12,1,-5.75,-8.5,-23.25,14.75,1.25,8.0,-0.25,-0.75,-11.0,11.75,-1.1166666666666663
50,reg,2018093006,NE,MIA,4,2018,http://www.nfl.com/liveupdate/game-center/2018093006/2018093006_gtd.json,38,7,1,12.5,109.0,23.0,86.0,-3.75,-36.0,0.75,-1.25,-88.0,3.5,11.791666666666671
51,reg,2018093007,TEN,PHI,4,2018,http://www.nfl.com/liveupdate/game-center/2018093007/2018093007_gtd.json,26,23,1,-4.0,-47.75,-25.25,-22.5,1.5,7.75,-2.0,1.0,79.25,0.25,-2.591666666666666
52,reg,2018093004,IND,HOU,4,2018,http://www.nfl.com/liveupdate/game-center/2018093004/2018093004_gtd.json,34,37,0,6.0,78.75,37.0,41.75,-0.5,22.5,-0.25,-0.5,-63.25,-9.25,10.149999999999995
53,reg,2018093003,GB,BUF,4,2018,http://www.nfl.com/liveupdate/game-center/2018093003/2018093003_gtd.json,22,0,1,-3.75,-27.75,-55.75,28.0,-1.75,-18.25,-2.25,1.0,49.0,-2.25,0.8416666666666648
54,reg,2018093002,DAL,DET,4,2018,http://www.nfl.com/liveupdate/game-center/2018093002/2018093002_gtd.json,26,24,1,-3.75,-50.0,-66.0,16.0,3.0,10.5,-0.25,0.75,8.5,7.0,-1.4333333333333318
55,reg,2018093001,CHI,TB,4,2018,http://www.nfl.com/liveupdate/game-center/2018093001/2018093001_gtd.json,48,10,1,-2.0,-10.5,-36.5,26.0,4.0,35.5,-1.0,0.25,3.5,-5.75,3.599999999999996
56,reg,2018093000,ATL,CIN,4,2018,http://www.nfl.com/liveupdate/game-center/2018093000/2018093000_gtd.json,36,37,0,-0.25,0.0,46.5,-46.5,-3.0,-26.0,1.25,-1.0,-40.5,-3.75,-3.770833333333332
57,reg,2018093008,ARI,SEA,4,2018,http://www.nfl.com/liveupdate/game-center/2018093008/2018093008_gtd.json,17,20,0,-5.25,-41.75,5.25,-47.0,-2.5,-10.25,1.5,-1.25,-23.0,7.25,-11.308333333333332
58,reg,2018093009,OAK,CLE,4,2018,http://www.nfl.com/liveupdate/game-center/2018093009/2018093009_gtd.json,45,42,1,-3.0,77.0,92.5,-15.5,3.75,50.25,1.75,-0.5,-0.75,-2.25,-4.516666666666664
59,reg,2018093011,NYG,NO,4,2018,http://www.nfl.com/liveupdate/game-center/2018093011/2018093011_gtd.json,18,33,0,0.0,98.75,-1.5,100.25,2.75,9.75,-1.25,-2.0,-78.5,0.75,-1.6041666666666687
60,reg,2018093010,LAC,SF,4,2018,http://www.nfl.com/liveupdate/game-center/2018093010/2018093010_gtd.json,29,27,1,11.75,186.5,165.5,21.0,1.75,14.75,1.75,-2.5,-128.25,-11.75,3.7083333333333313
61,reg,2018093012,PIT,BAL,4,2018,http://www.nfl.com/liveupdate/game-center/2018093012/2018093012_gtd.json,14,26,0,1.0,-67.25,-48.75,-18.5,-1.25,-22.5,0.5,1.75,94.25,-4.0,-3.9666666666666677
62,reg,2018100100,DEN,KC,4,2018,http://www.nfl.com/liveupdate/game-center/2018100100/2018100100_gtd.json,23,27,0,-3.75,10.5,-62.75,73.25,0.75,10.5,-0.25,-0.25,-28.75,5.0,-2.0999999999999996
63,reg,2018100400,NE,IND,5,2018,http://www.nfl.com/liveupdate/game-center/2018100400/2018100400_gtd.json,38,24,1,5.25,109.75,53.5,56.25,0.75,-21.75,0.0,-1.75,-67.5,0.75,3.1416666666666746
64,reg,2018100700,BUF,TEN,5,2018,http://www.nfl.com/liveupdate/game-center/2018100700/2018100700_gtd.json,13,12,1,10.25,155.5,122.5,33.0,-1.0,-1.0,1.0,-2.0,-99.75,1.75,1.2624999999999944
65,reg,2018100707,PIT,ATL,5,2018,http://www.nfl.com/liveupdate/game-center/2018100707/2018100707_gtd.json,41,17,1,4.25,-35.25,3.25,-38.5,1.0,-4.25,-0.5,1.5,65.75,-4.25,-0.220833333333337
66,reg,2018100706,NYJ,DEN,5,2018,http://www.nfl.com/liveupdate/game-center/2018100706/2018100706_gtd.json,34,16,1,3.0,77.75,137.0,-59.25,3.5,38.5,0.75,0.0,-4.0,-6.0,4.758333333333332
67,reg,2018100705,KC,JAX,5,2018,http://www.nfl.com/liveupdate/game-center/2018100705/2018100705_gtd.json,30,14,1,2.5,-99.75,-52.5,-47.25,-5.25,-54.75,-1.0,1.0,52.0,-9.75,-2.2250000000000005
68,reg,2018100704,DET,GB,5,2018,http://www.nfl.com/liveupdate/game-center/2018100704/2018100704_gtd.json,31,23,1,2.75,-31.25,-33.75,2.5,-2.25,-17.75,0.75,-0.25,-9.0,-4.5,1.1583333333333337
69,reg,2018100703,CLE,BAL,5,2018,http://www.nfl.com/liveupdate/game-center/2018100703/2018100703_gtd.json,12,9,1,1.75,-27.5,-24.5,-3.0,0.75,9.0,-1.25,1.75,70.25,0.5,1.9166666666666718
70,reg,2018100701,CAR,NYG,5,2018,http://www.nfl.com/liveupdate/game-center/2018100701/2018100701_gtd.json,33,31,1,2.0,37.0,-42.75,79.75,-2.0,-3.75,-2.75,0.5,-10.75,-5.5,8.56666666666667
71,reg,2018100702,CIN,MIA,5,2018,http://www.nfl.com/liveupdate/game-center/2018100702/2018100702_gtd.json,27,17,1,-2.75,-65.0,-117.75,52.75,0.0,3.0,-1.5,1.5,38.25,8.0,4.033333333333332
72,reg,2018100708,LAC,OAK,5,2018,http://www.nfl.com/liveupdate/game-center/2018100708/2018100708_gtd.json,26,10,1,9.0,58.25,13.75,44.5,0.0,-25.25,0.75,-2.25,-99.75,-3.5,7.649999999999997
73,reg,2018100710,SF,ARI,5,2018,http://www.nfl.com/liveupdate/game-center/2018100710/2018100710_gtd.json,18,28,0,1.75,0.25,-73.0,73.25,1.0,-13.0,-2.25,0.5,16.5,0.75,7.6416666666666675
74,reg,2018100709,PHI,MIN,5,2018,http://www.nfl.com/liveupdate/game-center/2018100709/2018100709_gtd.json,21,23,0,0.25,23.75,13.75,10.0,-1.5,-7.25,1.25,-0.25,-41.0,-3.0,5.47916666666667
75,reg,2018100711,SEA,LA,5,2018,http://www.nfl.com/liveupdate/game-center/2018100711/2018100711_gtd.json,31,33,0,-4.5,-129.25,-103.0,-26.25,0.75,-18.75,-1.0,2.5,89.25,-5.5,1.4083333333333288
76,reg,2018100712,HOU,DAL,5,2018,http://www.nfl.com/liveupdate/game-center/2018100712/2018100712_gtd.json,19,16,1,-4.25,-39.5,64.5,-104.0,0.5,10.75,1.75,0.25,48.5,7.25,-5.124999999999994
