,type,game_id,home_team,away_team,week,season,game_url,home_score,away_score,h_win,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top
0,reg,2018090600,PHI,ATL,1,2018,http://www.nfl.com/liveupdate/game-center/2018090600/2018090600_gtd.json,18,12,1,-5.5,-133.5,-144.0,10.5,-1.0,-21.0,1.0,2.5,83.0,-1.0,-2.666666666666668
1,reg,2018090900,BAL,BUF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090900/2018090900_gtd.json,47,3,1,1.0,-1.5,-7.0,5.5,0.0,-28.0,0.5,2.0,37.0,-13.0,3.9083333333333385
2,reg,2018090907,NYG,JAX,1,2018,http://www.nfl.com/liveupdate/game-center/2018090907/2018090907_gtd.json,15,20,0,-8.0,-13.5,-77.5,64.0,-2.5,-7.0,-1.5,1.5,67.0,3.5,0.649999999999995
3,reg,2018090906,NO,TB,1,2018,http://www.nfl.com/liveupdate/game-center/2018090906/2018090906_gtd.json,40,48,0,-7.5,-104.5,-105.5,1.0,-2.0,-9.5,-2.0,3.5,151.5,-7.5,0.6000000000000014
4,reg,2018090905,NE,HOU,1,2018,http://www.nfl.com/liveupdate/game-center/2018090905/2018090905_gtd.json,27,20,1,14.0,152.5,113.0,39.5,-4.0,-27.5,-1.0,-1.0,-80.5,6.0,4.350000000000001
5,reg,2018090904,MIN,SF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090904/2018090904_gtd.json,24,16,1,-7.5,-134.5,-113.0,-21.5,1.0,11.0,-2.0,5.0,208.5,-7.0,4.600000000000001
6,reg,2018090903,MIA,TEN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090903/2018090903_gtd.json,27,20,1,3.0,51.5,82.0,-30.5,9.0,75.5,0.5,-3.5,-141.5,-2.5,-6.166666666666668
7,reg,2018090902,IND,CIN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090902/2018090902_gtd.json,23,34,0,-6.5,-88.5,-64.0,-24.5,-2.5,-40.5,-1.0,-2.5,-92.5,4.5,-2.8583333333333307
8,reg,2018090901,CLE,PIT,1,2018,http://www.nfl.com/liveupdate/game-center/2018090901/2018090901_gtd.json,21,21,0,-5.5,-25.5,0.0,-25.5,5.0,49.0,1.5,2.5,126.0,-1.0,-1.1666666666666607
9,reg,2018090908,LAC,KC,1,2018,http://www.nfl.com/liveupdate/game-center/2018090908/2018090908_gtd.json,28,38,0,0.5,45.5,50.0,-4.5,3.0,32.5,-1.0,2.5,87.0,-10.0,-0.3166666666666629
10,reg,2018090911,DEN,SEA,1,2018,http://www.nfl.com/liveupdate/game-center/2018090911/2018090911_gtd.json,27,24,1,6.0,117.0,71.0,46.0,-6.0,-91.0,3.0,-2.5,-133.5,0.0,3.2499999999999964
11,reg,2018090910,CAR,DAL,1,2018,http://www.nfl.com/liveupdate/game-center/2018090910/2018090910_gtd.json,16,8,1,-1.0,-40.5,-13.0,-27.5,-1.5,-27.0,0.0,0.0,-4.0,0.0,-3.5583333333333336
12,reg,2018090909,ARI,WAS,1,2018,http://www.nfl.com/liveupdate/game-center/2018090909/2018090909_gtd.json,6,24,0,4.5,-17.5,-38.5,21.0,0.0,0.0,-1.0,-0.5,-12.5,-4.5,3.9083333333333314
