,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top
197,reg,2018120905,KC,BAL,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018120905/2018120905_gtd.json,27,24,1,0,30,24,442,321,348,127,94,194,7,11,53,112,1,1,3,3,111,158,19,48,37:00,31:27
198,reg,2018120904,HOU,IND,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018120904/2018120904_gtd.json,21,24,0,1,25,24,315,436,226,386,89,50,7,9,35,59,0,1,8,6,362,278,39,37,31:57,28:03
199,reg,2018120903,GB,ATL,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018120903/2018120903_gtd.json,34,20,1,0,23,22,300,344,162,237,138,107,6,13,37,101,0,2,4,4,169,200,39,50,29:11,30:49
200,reg,2018120902,CLE,CAR,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018120902/2018120902_gtd.json,26,20,1,0,12,22,348,393,232,297,116,96,7,10,52,68,2,1,3,4,143,158,46,35,26:10,33:50
201,reg,2018120910,SF,DEN,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018120910/2018120910_gtd.json,20,14,1,0,24,22,389,274,305,171,84,103,11,11,87,62,1,0,5,6,210,287,34,40,30:41,29:19
202,reg,2018120909,LAC,CIN,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018120909/2018120909_gtd.json,26,21,1,0,17,19,288,295,203,151,85,144,6,6,38,34,0,0,4,3,173,132,38,44,27:22,32:38
203,reg,2018120911,ARI,DET,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018120911/2018120911_gtd.json,3,17,0,1,22,16,279,218,218,96,61,122,8,7,83,68,1,1,6,7,299,317,45,42,31:44,28:16
204,reg,2018120913,OAK,PIT,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018120913/2018120913_gtd.json,24,21,1,0,20,24,354,340,299,300,55,40,13,2,130,14,1,1,4,3,194,116,42,39,32:36,27:24
205,reg,2018120912,DAL,PHI,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018120912/2018120912_gtd.json,29,23,1,0,32,16,576,256,434,222,142,34,11,5,110,49,3,1,2,6,102,276,47,44,45:33,22:32
206,reg,2018120901,CHI,LA,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018120901/2018120901_gtd.json,15,6,1,0,17,14,294,214,100,162,194,52,6,9,45,57,3,4,5,3,229,146,42,41,36:49,23:11
207,reg,2018121000,SEA,MIN,14,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121000/2018121000_gtd.json,21,7,1,0,19,16,274,276,60,199,214,77,4,4,45,51,1,1,5,5,220,213,44,39,31:49,28:11
208,reg,2018121300,KC,LAC,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121300/2018121300_gtd.json,28,29,0,1,22,30,294,407,234,288,60,119,10,7,66,50,0,2,4,2,203,83,46,32,26:44,33:16
209,reg,2018121500,NYJ,HOU,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121500/2018121500_gtd.json,22,29,0,1,21,15,318,286,228,239,90,47,9,5,60,43,1,0,4,3,197,137,45,38,35:04,24:56
210,reg,2018121501,DEN,CLE,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121501/2018121501_gtd.json,16,17,0,1,22,21,270,309,238,175,32,134,8,6,51,75,2,2,3,4,124,194,38,49,32:42,27:18
211,reg,2018121603,CHI,GB,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121603/2018121603_gtd.json,24,17,1,0,19,19,332,323,232,235,100,88,4,7,24,48,1,1,4,5,177,208,44,31,30:23,29:37
212,reg,2018121602,BUF,DET,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121602/2018121602_gtd.json,14,13,1,0,20,14,312,313,195,208,117,105,3,4,20,81,0,0,6,7,245,317,36,41,31:06,28:54
213,reg,2018121601,BAL,TB,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121601/2018121601_gtd.json,20,12,1,0,24,12,370,241,128,156,242,85,8,6,70,58,2,1,3,4,127,163,38,36,37:10,22:50
214,reg,2018121600,ATL,ARI,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121600/2018121600_gtd.json,40,14,1,0,23,18,435,253,220,193,215,60,6,8,50,75,0,3,6,7,266,336,39,47,30:40,29:20
215,reg,2018121604,CIN,OAK,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121604/2018121604_gtd.json,30,16,1,0,18,13,294,297,123,229,171,68,9,8,85,90,1,2,5,6,216,229,39,38,33:19,26:41
216,reg,2018121608,NYG,TEN,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121608/2018121608_gtd.json,0,17,0,1,15,22,260,301,213,86,47,215,10,4,58,35,2,0,6,5,237,220,38,44,24:39,35:21
217,reg,2018121607,MIN,MIA,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121607/2018121607_gtd.json,41,17,1,0,22,12,418,193,198,37,220,156,6,8,45,49,1,0,3,7,127,351,40,31,33:16,26:44
218,reg,2018121606,JAX,WAS,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121606/2018121606_gtd.json,13,16,0,1,11,16,192,245,20,136,172,109,8,6,55,48,2,0,5,6,262,279,50,33,26:54,33:06
219,reg,2018121605,IND,DAL,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121605/2018121605_gtd.json,23,0,1,0,25,19,370,292,192,180,178,112,6,9,55,74,1,1,1,2,52,81,50,41,31:48,28:12
220,reg,2018121609,SF,SEA,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121609/2018121609_gtd.json,26,23,1,0,20,18,351,385,257,217,94,168,8,14,66,148,1,0,4,8,192,426,41,45,29:40,37:14
221,reg,2018121610,PIT,NE,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121610/2018121610_gtd.json,17,10,1,0,24,18,376,368,218,272,158,96,4,14,40,106,2,1,2,5,78,216,39,43,30:49,29:11
222,reg,2018121611,LA,PHI,15,2018,POST,http://www.nfl.com/liveupdate/game-center/2018121611/2018121611_gtd.json,23,30,0,1,23,17,407,381,325,270,82,111,5,6,50,49,3,1,3,3,169,155,52,52,28:24,31:36
