,type,game_id,home_team,away_team,week,season,game_url,home_score,away_score,h_win,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top
0,reg,2018090600,PHI,ATL,1,2018,http://www.nfl.com/liveupdate/game-center/2018090600/2018090600_gtd.json,18,12,1,-2.5,-56.0,-39.75,-16.25,1.25,-6.5,0.0,1.75,62.75,-2.0,-0.7958333333333378
1,reg,2018090900,BAL,BUF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090900/2018090900_gtd.json,47,3,1,4.0,34.75,55.5,-20.75,1.75,-0.5,0.0,0.25,-5.25,-3.75,2.69583333333334
2,reg,2018090907,NYG,JAX,1,2018,http://www.nfl.com/liveupdate/game-center/2018090907/2018090907_gtd.json,15,20,0,-3.0,-20.5,-23.0,2.5,-2.0,5.0,-0.25,0.75,19.5,-5.75,-0.7541666666666664
3,reg,2018090906,NO,TB,1,2018,http://www.nfl.com/liveupdate/game-center/2018090906/2018090906_gtd.json,40,48,0,-6.0,-65.0,-56.5,-8.5,0.25,10.5,-1.5,2.25,89.75,-2.5,-0.32083333333333286
4,reg,2018090905,NE,HOU,1,2018,http://www.nfl.com/liveupdate/game-center/2018090905/2018090905_gtd.json,27,20,1,9.0,104.0,103.0,1.0,-4.75,-45.25,-0.25,-2.5,-140.75,5.0,1.3875000000000028
5,reg,2018090904,MIN,SF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090904/2018090904_gtd.json,24,16,1,-4.75,-99.25,-106.25,7.0,-0.75,-3.0,-0.25,3.0,128.75,-4.0,1.5916666666666615
6,reg,2018090903,MIA,TEN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090903/2018090903_gtd.json,27,20,1,2.75,70.5,69.5,1.0,6.0,60.75,0.25,-1.0,-51.25,-5.25,0.658333333333335
7,reg,2018090902,IND,CIN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090902/2018090902_gtd.json,23,34,0,-1.0,-29.25,-46.25,17.0,-2.75,-30.5,-1.5,-1.75,-92.0,-1.0,1.87083333333333
8,reg,2018090901,CLE,PIT,1,2018,http://www.nfl.com/liveupdate/game-center/2018090901/2018090901_gtd.json,21,21,0,-7.75,-99.5,-102.75,3.25,2.5,3.5,2.0,1.75,91.25,-2.25,-4.862499999999994
9,reg,2018090908,LAC,KC,1,2018,http://www.nfl.com/liveupdate/game-center/2018090908/2018090908_gtd.json,28,38,0,0.5,20.25,39.25,-19.0,1.5,6.5,0.5,1.75,89.25,-1.5,-2.1666666666666643
