,type,game_id,home_team,away_team,week,season,game_url,home_score,away_score,h_win,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top
0,reg,2018090600,PHI,ATL,1,2018,http://www.nfl.com/liveupdate/game-center/2018090600/2018090600_gtd.json,18,12,1,-5.0,-123.5,-68.5,-55.0,3.0,15.5,1.0,1.5,66.0,1.0,-12.93333333333333
1,reg,2018090900,BAL,BUF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090900/2018090900_gtd.json,47,3,1,-3.0,-74.5,-27.5,-47.0,-2.0,-17.0,-1.0,1.5,44.0,-13.0,6.483333333333336
2,reg,2018090907,NYG,JAX,1,2018,http://www.nfl.com/liveupdate/game-center/2018090907/2018090907_gtd.json,15,20,0,11.0,140.0,61.0,79.0,1.5,-4.5,1.0,0.5,-9.5,-14.5,2.466666666666665
3,reg,2018090906,NO,TB,1,2018,http://www.nfl.com/liveupdate/game-center/2018090906/2018090906_gtd.json,40,48,0,0.0,60.5,75.5,-15.0,-0.5,-19.5,0.5,-0.5,-17.5,4.5,3.299999999999999
4,reg,2018090905,NE,HOU,1,2018,http://www.nfl.com/liveupdate/game-center/2018090905/2018090905_gtd.json,27,20,1,13.5,115.0,73.5,41.5,-3.5,-75.0,0.0,-3.0,-159.5,0.5,6.2666666666666675
5,reg,2018090904,MIN,SF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090904/2018090904_gtd.json,24,16,1,11.0,222.0,148.0,74.0,4.0,32.0,2.5,-2.0,-140.0,-12.0,4.266666666666664
6,reg,2018090903,MIA,TEN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090903/2018090903_gtd.json,27,20,1,4.5,68.0,69.5,-1.5,3.0,40.5,1.0,-1.0,-1.0,12.0,3.43333333333333
7,reg,2018090902,IND,CIN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090902/2018090902_gtd.json,23,34,0,0.5,13.5,-8.5,22.0,2.5,9.5,-0.5,1.5,45.0,-6.5,3.1833333333333336
8,reg,2018090901,CLE,PIT,1,2018,http://www.nfl.com/liveupdate/game-center/2018090901/2018090901_gtd.json,21,21,0,5.5,54.0,79.0,-25.0,-3.5,-45.5,-2.5,-1.5,-86.0,3.0,4.1666666666666625
9,reg,2018090908,LAC,KC,1,2018,http://www.nfl.com/liveupdate/game-center/2018090908/2018090908_gtd.json,28,38,0,-1.5,29.5,-7.5,37.0,2.0,-10.5,1.0,0.5,20.5,-13.0,-8.466666666666667
10,reg,2018090911,DEN,SEA,1,2018,http://www.nfl.com/liveupdate/game-center/2018090911/2018090911_gtd.json,27,24,1,0.0,-85.5,-31.0,-54.5,1.5,-6.5,-1.0,0.5,47.5,-2.0,-0.06666666666666476
11,reg,2018090910,CAR,DAL,1,2018,http://www.nfl.com/liveupdate/game-center/2018090910/2018090910_gtd.json,16,8,1,1.5,-39.5,-54.0,14.5,0.0,42.5,-4.5,3.0,126.5,-7.0,2.4499999999999975
12,reg,2018090909,ARI,WAS,1,2018,http://www.nfl.com/liveupdate/game-center/2018090909/2018090909_gtd.json,6,24,0,-3.5,-103.5,-48.0,-55.5,-1.0,12.0,0.5,2.0,79.0,3.5,-0.48333333333332895
13,reg,2018090912,GB,CHI,1,2018,http://www.nfl.com/liveupdate/game-center/2018090912/2018090912_gtd.json,24,23,1,-7.5,-14.0,81.0,-95.0,1.5,55.5,0.5,-1.5,-35.5,5.0,-12.550000000000002
14,reg,2018091000,DET,NYJ,1,2018,http://www.nfl.com/liveupdate/game-center/2018091000/2018091000_gtd.json,17,48,0,4.0,94.5,200.5,-106.0,0.5,30.5,-3.5,-1.0,-36.0,-2.0,-1.150000000000004
15,reg,2018091001,OAK,LA,1,2018,http://www.nfl.com/liveupdate/game-center/2018091001/2018091001_gtd.json,13,33,0,11.0,174.5,155.0,19.5,0.0,-21.5,-2.0,-1.5,-72.5,-4.5,-1.8000000000000025
16,reg,2018091300,CIN,BAL,2,2018,http://www.nfl.com/liveupdate/game-center/2018091300/2018091300_gtd.json,34,23,1,-5.5,-83.0,-53.0,-30.0,0.0,9.5,0.5,1.5,69.5,-2.5,-2.433333333333331
17,reg,2018091600,ATL,CAR,2,2018,http://www.nfl.com/liveupdate/game-center/2018091600/2018091600_gtd.json,31,24,1,-0.5,-64.0,-57.0,-7.0,-1.5,-14.5,0.5,0.0,16.5,0.5,1.5666666666666664
18,reg,2018091608,WAS,IND,2,2018,http://www.nfl.com/liveupdate/game-center/2018091608/2018091608_gtd.json,9,21,0,-9.5,-61.5,-86.5,25.0,1.5,5.5,0.0,0.0,-9.5,-6.0,-10.266666666666667
19,reg,2018091607,TEN,HOU,2,2018,http://www.nfl.com/liveupdate/game-center/2018091607/2018091607_gtd.json,20,17,1,-5.0,-48.0,-58.5,10.5,0.5,-0.5,-2.0,0.0,-1.0,-11.5,1.4833333333333343
20,reg,2018091606,TB,PHI,2,2018,http://www.nfl.com/liveupdate/game-center/2018091606/2018091606_gtd.json,27,21,1,6.0,113.5,129.0,-15.5,0.0,16.5,1.0,0.5,29.5,2.5,-2.6833333333333376
21,reg,2018091605,PIT,KC,2,2018,http://www.nfl.com/liveupdate/game-center/2018091605/2018091605_gtd.json,37,42,0,-6.5,-153.5,-165.0,11.5,-4.0,-38.0,-4.0,3.5,198.5,20.0,-6.500000000000005
22,reg,2018091604,NYJ,MIA,2,2018,http://www.nfl.com/liveupdate/game-center/2018091604/2018091604_gtd.json,12,20,0,9.5,11.5,8.5,3.0,-9.5,-86.0,1.5,0.5,9.0,-11.0,2.3499999999999983
23,reg,2018091601,BUF,LAC,2,2018,http://www.nfl.com/liveupdate/game-center/2018091601/2018091601_gtd.json,20,31,0,-6.0,-39.0,-26.0,-13.0,2.5,51.5,0.0,0.0,22.5,29.0,-3.6000000000000023
24,reg,2018091602,GB,MIN,2,2018,http://www.nfl.com/liveupdate/game-center/2018091602/2018091602_gtd.json,29,29,0,-4.5,17.0,149.5,-132.5,-3.0,6.5,0.0,-1.5,-31.5,1.5,-12.216666666666669
25,reg,2018091603,NO,CLE,2,2018,http://www.nfl.com/liveupdate/game-center/2018091603/2018091603_gtd.json,21,18,1,5.0,124.5,170.0,-45.5,1.5,37.5,4.5,-2.0,-78.5,7.0,0.5166666666666764
26,reg,2018091610,SF,DET,2,2018,http://www.nfl.com/liveupdate/game-center/2018091610/2018091610_gtd.json,30,27,1,-7.0,-143.0,-212.5,69.5,6.5,47.0,-1.5,3.5,136.5,16.0,6.900000000000002
27,reg,2018091609,LA,ARI,2,2018,http://www.nfl.com/liveupdate/game-center/2018091609/2018091609_gtd.json,34,0,1,4.5,-1.5,-9.0,7.5,0.5,14.5,1.0,2.0,104.5,-9.0,12.766666666666667
28,reg,2018091612,JAX,NE,2,2018,http://www.nfl.com/liveupdate/game-center/2018091612/2018091612_gtd.json,31,20,1,-10.0,-62.5,-36.5,-26.0,-2.0,-29.5,-1.5,-1.0,-17.5,2.0,-2.050000000000008
29,reg,2018091611,DEN,OAK,2,2018,http://www.nfl.com/liveupdate/game-center/2018091611/2018091611_gtd.json,20,19,1,1.0,-34.0,-92.5,58.5,-2.0,-30.0,0.0,-1.0,-87.0,2.0,1.2333333333333307
30,reg,2018091613,DAL,NYG,2,2018,http://www.nfl.com/liveupdate/game-center/2018091613/2018091613_gtd.json,20,13,1,-3.0,-112.0,-21.0,-91.0,2.5,33.0,1.0,0.5,8.5,5.5,-1.849999999999989
31,reg,2018091700,CHI,SEA,2,2018,http://www.nfl.com/liveupdate/game-center/2018091700/2018091700_gtd.json,24,17,1,0.5,0.5,10.5,-10.0,0.5,-33.0,1.0,-0.5,22.0,-1.0,-0.3166666666666642
32,reg,2018092000,CLE,NYJ,3,2018,http://www.nfl.com/liveupdate/game-center/2018092000/2018092000_gtd.json,21,17,1,-3.0,-146.0,-251.0,105.0,-1.0,-12.5,-4.0,3.5,150.0,22.0,4.016666666666669
33,reg,2018092300,ATL,NO,3,2018,http://www.nfl.com/liveupdate/game-center/2018092300/2018092300_gtd.json,37,43,0,-2.0,21.0,-73.0,94.0,-5.0,-37.0,-1.0,-1.5,-80.0,-7.5,1.3333333333333344
34,reg,2018092309,WAS,GB,3,2018,http://www.nfl.com/liveupdate/game-center/2018092309/2018092309_gtd.json,31,17,1,-5.5,-55.0,1.5,-56.5,-0.5,23.5,0.0,0.5,-11.0,-0.5,-4.566666666666662
35,reg,2018092308,PHI,IND,3,2018,http://www.nfl.com/liveupdate/game-center/2018092308/2018092308_gtd.json,20,16,1,-6.0,-73.0,-101.0,28.0,-3.0,-53.0,1.0,0.5,30.5,2.5,-9.61666666666666
36,reg,2018092307,MIN,BUF,3,2018,http://www.nfl.com/liveupdate/game-center/2018092307/2018092307_gtd.json,6,27,0,-6.5,-136.5,-160.0,23.5,2.0,25.5,-2.5,2.5,130.5,3.5,2.083333333333333
37,reg,2018092306,MIA,OAK,3,2018,http://www.nfl.com/liveupdate/game-center/2018092306/2018092306_gtd.json,28,20,1,3.0,34.5,94.5,-60.0,1.0,-23.5,-2.0,-1.5,-36.0,-4.0,3.4166666666666643
38,reg,2018092301,BAL,DEN,3,2018,http://www.nfl.com/liveupdate/game-center/2018092301/2018092301_gtd.json,27,14,1,0.5,-6.0,35.0,-41.0,-0.5,-0.5,-2.5,0.0,2.0,8.5,4.866666666666659
39,reg,2018092302,CAR,CIN,3,2018,http://www.nfl.com/liveupdate/game-center/2018092302/2018092302_gtd.json,31,21,1,-1.0,33.0,-10.0,43.0,-3.5,-33.0,1.5,-1.5,-44.5,-2.5,-4.333333333333327
40,reg,2018092303,HOU,NYG,3,2018,http://www.nfl.com/liveupdate/game-center/2018092303/2018092303_gtd.json,22,27,0,-0.5,-76.0,10.5,-86.5,-0.5,13.5,0.0,2.5,126.0,5.5,3.2500000000000107
41,reg,2018092304,JAX,TEN,3,2018,http://www.nfl.com/liveupdate/game-center/2018092304/2018092304_gtd.json,6,9,0,7.0,172.5,151.0,21.5,0.5,-7.5,2.0,-2.0,-133.0,-1.5,0.4666666666666579
42,reg,2018092305,KC,SF,3,2018,http://www.nfl.com/liveupdate/game-center/2018092305/2018092305_gtd.json,38,27,1,13.0,135.0,232.5,-97.5,-1.0,-1.5,2.5,-0.5,-29.0,-24.5,5.899999999999997
43,reg,2018092310,LA,LAC,3,2018,http://www.nfl.com/liveupdate/game-center/2018092310/2018092310_gtd.json,35,23,1,3.0,101.0,101.5,-0.5,-1.0,53.0,-0.5,-1.0,-59.0,17.5,4.25
