,type,game_id,home_team,away_team,week,season,game_url,home_score,away_score,h_win,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top
0,reg,2018090600,PHI,ATL,1,2018,http://www.nfl.com/liveupdate/game-center/2018090600/2018090600_gtd.json,18,12,1,-1.0,-15.666666666666664,-7.0,-8.666666666666671,1.0,20.333333333333336,0.6666666666666667,0.6666666666666666,-3.666666666666668,-8.333333333333334,-7.044444444444439
1,reg,2018090900,BAL,BUF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090900/2018090900_gtd.json,47,3,1,-4.666666666666667,-79.33333333333334,-53.66666666666667,-25.666666666666668,-0.3333333333333333,-7.999999999999999,1.6666666666666665,0.6666666666666666,23.666666666666664,-5.666666666666667,1.4000000000000032
2,reg,2018090907,NYG,JAX,1,2018,http://www.nfl.com/liveupdate/game-center/2018090907/2018090907_gtd.json,15,20,0,3.6666666666666665,54.99999999999999,30.333333333333332,24.66666666666667,2.3333333333333335,29.0,1.3333333333333335,1.6666666666666667,34.333333333333336,-17.666666666666668,-1.1444444444444422
3,reg,2018090906,NO,TB,1,2018,http://www.nfl.com/liveupdate/game-center/2018090906/2018090906_gtd.json,40,48,0,2.0000000000000004,93.33333333333333,62.00000000000001,31.333333333333336,-0.6666666666666665,3.333333333333332,0.3333333333333333,-1.3333333333333333,-64.66666666666667,3.3333333333333335,3.8111111111111136
4,reg,2018090905,NE,HOU,1,2018,http://www.nfl.com/liveupdate/game-center/2018090905/2018090905_gtd.json,27,20,1,3.666666666666667,1.6666666666666714,-31.0,32.666666666666664,1.0,-5.999999999999998,0.3333333333333333,0.3333333333333333,-3.0,-3.0,5.388888888888892
5,reg,2018090904,MIN,SF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090904/2018090904_gtd.json,24,16,1,10.666666666666666,181.0,92.66666666666667,88.33333333333333,3.3333333333333335,21.666666666666664,1.6666666666666665,-2.0,-120.0,-5.666666666666667,5.033333333333334
6,reg,2018090903,MIA,TEN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090903/2018090903_gtd.json,27,20,1,3.0,9.666666666666664,-7.666666666666668,17.333333333333336,-0.6666666666666666,0.3333333333333339,0.0,0.0,28.0,8.0,-1.0444444444444465
7,reg,2018090902,IND,CIN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090902/2018090902_gtd.json,23,34,0,-5.666666666666667,-130.66666666666666,-71.66666666666667,-59.0,-3.0,-23.666666666666664,-0.3333333333333333,3.0,116.66666666666666,-8.0,-6.355555555555559
8,reg,2018090901,CLE,PIT,1,2018,http://www.nfl.com/liveupdate/game-center/2018090901/2018090901_gtd.json,21,21,0,1.0,-18.333333333333332,9.333333333333343,-27.666666666666668,-4.0,-57.33333333333333,-0.3333333333333333,-1.6666666666666667,-82.0,5.0,-5.16666666666667
9,reg,2018090908,LAC,KC,1,2018,http://www.nfl.com/liveupdate/game-center/2018090908/2018090908_gtd.json,28,38,0,-1.0000000000000002,19.666666666666664,-4.999999999999999,24.66666666666667,1.3333333333333333,-7.000000000000002,0.6666666666666667,0.3333333333333333,13.666666666666668,-8.666666666666668,-5.644444444444446
