,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top
24,reg,2017091709,OAK,NYJ,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091709/2017091709_gtd.json,45,20,1,0,21,17,410,271,230,145,180,126,9,5,79,47,0,2,3,3,166,119,52,35,31.033333333333335,28.966666666666665
25,reg,2017091708,LAC,MIA,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091708/2017091708_gtd.json,17,19,0,1,24,21,367,336,323,225,44,111,6,5,56,23,0,0,4,3,170,130,37,29,26.633333333333333,33.36666666666667
26,reg,2017091712,SEA,SF,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091712/2017091712_gtd.json,12,9,1,0,21,11,312,248,181,89,131,159,9,6,71,66,0,1,7,7,309,307,38,44,36.96666666666667,23.033333333333335
27,reg,2017091711,LA,WAS,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091711/2017091711_gtd.json,20,27,0,1,14,21,332,385,240,156,92,229,7,4,75,25,2,0,4,4,182,204,42,45,23.683333333333334,36.31666666666667
28,reg,2017091710,DEN,DAL,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091710/2017091710_gtd.json,42,17,1,0,26,16,380,268,202,228,178,40,8,8,61,69,2,2,3,5,129,249,37,42,33.833333333333336,26.166666666666668
29,reg,2017091713,ATL,GB,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091713/2017091713_gtd.json,34,23,1,0,19,24,364,367,223,308,141,59,6,10,34,70,0,2,4,3,165,119,41,40,28.616666666666667,31.383333333333333
30,reg,2017091800,NYG,DET,2,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091800/2017091800_gtd.json,10,24,0,1,14,12,270,257,208,119,62,138,7,6,50,50,1,1,5,5,239,209,28,40,27.216666666666665,32.78333333333333
31,reg,2017092100,SF,LA,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092100/2017092100_gtd.json,39,41,0,1,25,26,421,418,308,292,113,126,10,7,55,52,2,2,2,2,83,113,42,52,30.283333333333335,29.716666666666665
32,reg,2017092400,JAX,BAL,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092400/2017092400_gtd.json,44,7,1,0,24,12,410,186,244,52,166,134,9,10,70,88,0,3,3,7,150,311,50,41,34.05,25.95
33,reg,2017092405,IND,CLE,3,2017,POST,http://www.nfl.com/liveupdate/game-center/2017092405/2017092405_gtd.json,31,28,1,0,16,25,335,346,243,235,92,111,11,10,99,113,1,3,7,7,320,347,43,47,33.45,26.55
