,type,game_id,home_team,away_team,week,season,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top,,N = 6 Weeks
31,reg,2018091700,CHI,SEA,2,2018,2.666666667,22.16666667,15.16666667,7,0,-15,-0.666666667,-1.166666667,-56.83333333,1.333333333,3.813888889,,
32,reg,2018092000,CLE,NYJ,3,2018,1.333333333,40.83333333,27.16666667,13.66666667,0.666666667,10,0.166666667,-0.5,-32.83333333,-1,0.244444444,,
33,reg,2018092300,ATL,NO,3,2018,1,14.33333333,-25.66666667,40,0.5,5,-0.5,0,-1.166666667,-4.5,1.516666667,,
34,reg,2018092309,WAS,GB,3,2018,-2.5,-29.33333333,-13.16666667,-16.16666667,-0.166666667,5.333333333,-0.5,1.666666667,80.5,1,-1.622222222,,
35,reg,2018092308,PHI,IND,3,2018,1.333333333,35.5,44.16666667,-8.666666667,4,26.83333333,0.833333333,1.5,80.5,-1.666666667,3.233333333,,
36,reg,2018092307,MIN,BUF,3,2018,2.666666667,59.5,68.33333333,-8.833333333,1.833333333,10.16666667,0,0.5,5.333333333,-2.166666667,4.008333333,,
37,reg,2018092306,MIA,OAK,3,2018,2,12,11,1,0,-3.5,-0.666666667,0,13.16666667,-1.666666667,0.330555556,,
38,reg,2018092301,BAL,DEN,3,2018,3.333333333,-6.333333333,31.5,-37.83333333,0.5,6.166666667,-0.833333333,0.166666667,-0.666666667,-5.666666667,-0.752777778,,
39,reg,2018092302,CAR,CIN,3,2018,1.833333333,24.33333333,-13,37.33333333,-0.333333333,-17.33333333,-0.166666667,-0.5,-14.5,-1.333333333,2.633333333,,
40,reg,2018092303,HOU,NYG,3,2018,-2,-65.33333333,-86,20.66666667,3.166666667,20.83333333,-0.333333333,0.166666667,35.83333333,4.166666667,-2.525,,
41,reg,2018092304,JAX,TEN,3,2018,5.333333333,104.3333333,83.16666667,21.16666667,3.666666667,29.16666667,0.5,0.5,-8.833333333,-7.666666667,1.172222222,,
42,reg,2018092305,KC,SF,3,2018,-0.833333333,10.66666667,2.333333333,8.333333333,-0.166666667,-1.5,-0.833333333,-0.166666667,4,2.5,1.030555556,,
43,reg,2018092310,LA,LAC,3,2018,-4.5,-75,-90.5,15.5,-1.333333333,0,0,-0.333333333,-2.666666667,8.166666667,-2.441666667,,
